height,weight
185.09,45.19
181.65,61.83
176.27,69.32
173.27,64.48
172.18,65.37
174.49,55.86
177.30,64.10
177.84,61.82
172.47,50.90
169.63,54.66
168.88,57.74
171.76,51.71
173.49,56.90
161.08,71.48
173.43,52.59
180.57,63.42
168.81,58.66
174.37,64.77
180.93,62.47
170.51,56.19
172.30,64.00
174.95,65.02
161.24,44.35
173.79,58.66
171.78,64.26
170.71,58.77
179.94,64.52
171.44,59.59
169.00,49.07
166.22,51.59
176.59,46.80
167.17,54.70
172.25,56.98
179.31,61.71
182.38,63.47
175.78,58.32
169.68,64.24
171.85,54.92
172.23,59.50
162.68,48.34
174.18,56.33
165.57,56.56
176.93,63.27
172.64,62.23
167.59,48.22
174.43,58.33
169.88,65.99
171.95,52.92
177.35,65.06
175.48,61.12
177.58,66.60
171.02,57.23
178.48,56.84
175.52,52.42
166.07,55.94
178.27,67.00
178.83,70.62
169.02,58.02
168.57,54.07
171.54,60.62
168.92,58.32
175.26,62.31
173.49,58.78
170.21,58.36
179.85,61.30
173.28,49.65
175.41,64.54
172.04,60.14
170.73,46.90
171.11,56.50
165.79,58.58
179.94,60.71
177.61,63.60
163.28,46.58
173.34,58.22
168.55,54.50
173.64,62.79
166.31,60.23
177.09,52.38
172.02,55.50
174.34,60.99
169.63,55.22
177.93,70.39
168.35,58.41
175.77,58.48
175.60,63.18
171.11,63.82
178.04,59.61
178.25,54.87
173.29,59.58
173.05,61.86
178.42,64.09
181.58,63.70
175.78,50.80
177.96,60.46
179.21,59.71
168.37,54.37
161.10,55.76
169.59,58.05
174.97,52.31
164.78,46.25
170.42,59.05
173.60,60.79
166.65,44.68
172.10,51.90
172.77,55.94
171.86,55.74
168.44,57.29
176.37,58.17
162.14,57.62
172.02,55.29
177.93,57.81
178.27,59.63
167.50,50.69
177.82,55.28
174.27,58.24
174.77,60.10
177.20,61.64
166.26,52.52
174.82,62.02
167.13,54.31
170.73,49.38
176.33,58.11
175.12,61.29
172.57,48.41
166.69,55.85
168.90,49.61
172.54,54.05
174.99,63.53
178.41,60.69
173.40,60.06
180.93,59.21
175.51,52.35
